event	Epochs	Adam_loss	SGD_loss	RMSprop_loss
1	1	2.75	3	3.5
1	2	2.3	2.4	2.8
1	3	2.1	2	2.2
1	4	3.55	1.7	1.9
1	5	3.7	1.5	1.8
1	6	3.9	1.4	1.9
1	7	4.3	1.5	2.1
1	8	4.85	1.6	2.4
1	9	5.45	1.8	2.8
1	10	6.2	2.1	3.3
1	11	7.1	2.5	3.8
1	12	8.15	3	4.4
1	13	9.35	3.6	5
1	14	10.7	4.3	5.7
1	15	12.2	5.1	6.5
1	16	13.8	6	7.4
1	17	15.6	7	8.4
1	18	17.6	8.1	9.4
1	19	19.7	9.3	10.5
1	20	21.9	10.6	11.7
1	21	24.3	12	13
1	22	26.9	13.5	14.4
1	23	29.6	15.1	15.9
1	24	32.4	16.8	17.5
1	25	35.4	18.6	19.2
1	26	38.6	20.5	21
1	27	41.9	22.5	22.9
1	28	45.3	24.6	24.9
1	29	48.9	26.8	27
1	30	52.7	29.1	29.2
1	31	56.6	31.5	31.5
1	32	60.6	34	33.9
1	33	64.8	36.6	36.4
1	34	69.2	39.3	39
1	35	73.7	42.1	41.7
1	36	78.3	45	44.5
1	37	83.1	48	47.4
1	38	88.1	51.1	50.4
1	39	93.2	54.3	53.5
1	40	98.4	57.6	56.7
1	41	103.5	61	60
1	42	108.5	64.5	63.4
1	43	114.5	68.1	66.9
1	44	120.5	71.8	70.5
1	45	126.5	75.6	74.2
1	46	132.5	79.5	78
1	47	138.5	83.5	81.9
1	48	145.85	87.6	85.9
1	49	152.45	91.8	90
1	50	159.2	96.1	94.2
1e-01	1	2.75	3	3.5
1e-01	2	2.3	2.5	2.8
1e-01	3	2.1	2.2	2.3
1e-01	4	2.05	2	2.1
1e-01	5	2.2	1.85	2
1e-01	6	2.4	1.8	2
1e-01	7	2.8	1.8	2
1e-01	8	3.35	1.81	2
1e-01	9	3.95	1.8	2
1e-01	10	4.7	1.8	2
1e-01	11	5.6	1.8	2
1e-01	12	6.65	1.81	2
1e-01	13	7.85	1.8	2
1e-01	14	9.2	1.8	2
1e-01	15	10.7	1.8	2
1e-01	16	12.3	1.8	2
1e-01	17	14.1	1.8	2
1e-01	18	16.1	1.8	2
1e-01	19	18.2	1.8	2
1e-01	20	20.4	1.8	2
1e-01	21	22.8	1.8	2
1e-01	22	25.4	1.8	2
1e-01	23	28.1	1.8	2
1e-01	24	30.9	1.8	2
1e-01	25	33.9	1.8	2
1e-01	26	37.1	1.81	2
1e-01	27	40.4	1.8	2
1e-01	28	43.8	1.8	2
1e-01	29	47.4	1.8	2
1e-01	30	51.2	1.8	2
1e-01	31	55.1	1.8	2
1e-01	32	59.1	1.8	2
1e-01	33	63.3	1.8	2
1e-01	34	67.7	1.8	2
1e-01	35	72.2	1.8	2
1e-01	36	76.8	1.8	2
1e-01	37	81.6	1.8	2
1e-01	38	86.6	1.8	2
1e-01	39	91.7	1.81	2
1e-01	40	96.9	1.8	2
1e-01	41	102	1.8	2
1e-01	42	107	1.8	2
1e-01	43	113	1.8	2
1e-01	44	119	1.8	2
1e-01	45	125	1.8	2
1e-01	46	131	1.8	2
1e-01	47	137	1.81	2
1e-01	48	144.35	1.8	2
1e-01	49	150.95	1.8	2
1e-01	50	157.7	1.8	2
1e-02	1	2.75	3	3.5
1e-02	2	2.1	2.4	2.8
1e-02	3	1.85	1.8	2.2
1e-02	4	1.75	1.5	1.8
1e-02	5	1.72	1.3	1.5
1e-02	6	1.71	1.2	1.3
1e-02	7	1.7	1.15	1.2
1e-02	8	1.7	1.12	1.1
1e-02	9	1.7	1.1	1.05
1e-02	10	1.71	1.08	1.01
1e-02	11	1.7	1.07	0.98
1e-02	12	1.7	1.06	0.96
1e-02	13	1.7	1.05	0.94
1e-02	14	1.7	1.04	0.93
1e-02	15	1.69	1.03	0.92
1e-02	16	1.7	1.02	0.91
1e-02	17	1.71	1.01	0.9
1e-02	18	1.7	1	0.89
1e-02	19	1.7	0.99	0.88
1e-02	20	1.7	0.98	0.87
1e-02	21	1.7	0.97	0.86
1e-02	22	1.7	0.96	0.86
1e-02	23	1.69	0.95	0.85
1e-02	24	1.7	0.94	0.84
1e-02	25	1.7	0.93	0.83
1e-02	26	1.7	0.92	0.83
1e-02	27	1.71	0.91	0.82
1e-02	28	1.7	0.9	0.81
1e-02	29	1.7	0.89	0.81
1e-02	30	1.7	0.88	0.8
1e-02	31	1.7	0.87	0.8
1e-02	32	1.7	0.86	0.79
1e-02	33	1.69	0.85	0.79
1e-02	34	1.7	0.84	0.78
1e-02	35	1.7	0.83	0.78
1e-02	36	1.7	0.82	0.77
1e-02	37	1.71	0.81	0.77
1e-02	38	1.7	0.8	0.76
1e-02	39	1.7	0.79	0.76
1e-02	40	1.69	0.78	0.75
1e-02	41	1.7	0.77	0.75
1e-02	42	1.7	0.76	0.75
1e-02	43	1.7	0.75	0.74
1e-02	44	1.7	0.74	0.74
1e-02	45	1.7	0.73	0.73
