optimizer,Num of Layers,Epoch,Batch Size,Learning Rate,Validation Accuracy,Validation Loss,Samples
Adam,18,1,8,0.001,0.5,1,"Adam, 18, 1, 8, 0.001"
Adam,18,2,8,0.001,0.55,0.9,"Adam, 18, 2, 8, 0.001"
Adam,18,4,8,0.001,0.6,0.8,"Adam, 18, 4, 8, 0.001"
Adam,18,6,8,0.001,0.62,0.75,"Adam, 18, 6, 8, 0.001"
Adam,18,8,8,0.001,0.65,0.7,"Adam, 18, 8, 8, 0.001"
Adam,18,10,8,0.001,0.67,0.68,"Adam, 18, 10, 8, 0.001"
Adam,18,30,8,0.001,0.75,0.6,"Adam, 18, 30, 8, 0.001"
Adam,18,50,8,0.001,0.78,0.55,"Adam, 18, 50, 8, 0.001"
Adam,18,70,8,0.001,0.8,0.53,"Adam, 18, 70, 8, 0.001"
Adam,18,90,8,0.001,0.82,0.51,"Adam, 18, 90, 8, 0.001"
Adam,18,110,8,0.001,0.83,0.5,"Adam, 18, 110, 8, 0.001"
Adam,18,1,16,0.001,0.55,0.95,"Adam, 18, 1, 16, 0.001"
Adam,18,2,16,0.001,0.6,0.85,"Adam, 18, 2, 16, 0.001"
Adam,18,4,16,0.001,0.65,0.75,"Adam, 18, 4, 16, 0.001"
Adam,18,6,16,0.001,0.68,0.7,"Adam, 18, 6, 16, 0.001"
Adam,18,8,16,0.001,0.71,0.65,"Adam, 18, 8, 16, 0.001"
Adam,18,10,16,0.001,0.73,0.63,"Adam, 18, 10, 16, 0.001"
Adam,18,30,16,0.001,0.81,0.55,"Adam, 18, 30, 16, 0.001"
Adam,18,50,16,0.001,0.84,0.5,"Adam, 18, 50, 16, 0.001"
Adam,18,70,16,0.001,0.86,0.48,"Adam, 18, 70, 16, 0.001"
Adam,18,90,16,0.001,0.88,0.46,"Adam, 18, 90, 16, 0.001"
Adam,18,110,16,0.001,0.89,0.45,"Adam, 18, 110, 16, 0.001"
Adam,18,1,32,0.001,0.6,0.9,"Adam, 18, 1, 32, 0.001"
Adam,18,2,32,0.001,0.65,0.8,"Adam, 18, 2, 32, 0.001"
Adam,18,4,32,0.001,0.7,0.7,"Adam, 18, 4, 32, 0.001"
Adam,18,6,32,0.001,0.73,0.65,"Adam, 18, 6, 32, 0.001"
Adam,18,8,32,0.001,0.76,0.6,"Adam, 18, 8, 32, 0.001"
Adam,18,10,32,0.001,0.78,0.58,"Adam, 18, 10, 32, 0.001"
Adam,18,30,32,0.001,0.86,0.5,"Adam, 18, 30, 32, 0.001"
Adam,18,50,32,0.001,0.89,0.45,"Adam, 18, 50, 32, 0.001"
Adam,18,70,32,0.001,0.91,0.43,"Adam, 18, 70, 32, 0.001"
Adam,18,90,32,0.001,0.93,0.41,"Adam, 18, 90, 32, 0.001"
Adam,18,110,32,0.001,0.94,0.4,"Adam, 18, 110, 32, 0.001"
Adam,18,1,64,0.001,0.65,0.85,"Adam, 18, 1, 64, 0.001"
Adam,18,2,64,0.001,0.7,0.75,"Adam, 18, 2, 64, 0.001"
Adam,18,4,64,0.001,0.75,0.65,"Adam, 18, 4, 64, 0.001"
Adam,18,6,64,0.001,0.78,0.6,"Adam, 18, 6, 64, 0.001"
Adam,18,8,64,0.001,0.81,0.55,"Adam, 18, 8, 64, 0.001"
Adam,18,10,64,0.001,0.83,0.53,"Adam, 18, 10, 64, 0.001"
Adam,18,30,64,0.001,0.91,0.45,"Adam, 18, 30, 64, 0.001"
